year,region_type,region_year_spec,region_id,region_level,airborne_lq
2020,NUTS,2016,AT,0,0.76
2020,NUTS,2016,BE,0,2.8
2020,NUTS,2016,BG,0,4.47
2020,NUTS,2016,CH,0,1.25
2020,NUTS,2016,CY,0,2.54
2020,NUTS,2016,DE,0,1.46
2020,NUTS,2016,EE,0,4.05
2020,NUTS,2016,EL,0,0.48
2020,NUTS,2016,ES,0,0.22
2020,NUTS,2016,FR,0,0.79
2020,NUTS,2016,IS,0,6.62
2020,NUTS,2016,IT,0,0.95
2020,NUTS,2016,LU,0,4.8
2020,NUTS,2016,NL,0,1.47
2020,NUTS,2016,NO,0,1.02
2020,NUTS,2016,SE,0,0.22
2020,NUTS,2016,UK,0,1.27
2020,NUTS,2016,AT1,1,1.17
2020,NUTS,2016,BE2,1,1.32
2020,NUTS,2016,BE3,1,10.79
2020,NUTS,2016,BG4,1,5.01
2020,NUTS,2016,CH0,1,1.25
2020,NUTS,2016,CY0,1,2.54
2020,NUTS,2016,DE1,1,1.61
2020,NUTS,2016,DE2,1,1.31
2020,NUTS,2016,DE3,1,3.2
2020,NUTS,2016,DE6,1,1.64
2020,NUTS,2016,DE7,1,2.44
2020,NUTS,2016,DEA,1,1.03
2020,NUTS,2016,DED,1,0.73
2020,NUTS,2016,DEE,1,3.45
2020,NUTS,2016,EE0,1,4.05
2020,NUTS,2016,EL5,1,1.77
2020,NUTS,2016,ES4,1,1.48
2020,NUTS,2016,ES5,1,0.35
2020,NUTS,2016,FR1,1,0.85
2020,NUTS,2016,FRI,1,2.33
2020,NUTS,2016,FRJ,1,1.8
2020,NUTS,2016,FRL,1,1.29
2020,NUTS,2016,IS0,1,6.62
2020,NUTS,2016,ITC,1,1.18
2020,NUTS,2016,ITF,1,0.71
2020,NUTS,2016,ITH,1,0.47
2020,NUTS,2016,ITI,1,1.33
2020,NUTS,2016,LU0,1,4.8
2020,NUTS,2016,NL2,1,0.93
2020,NUTS,2016,NL3,1,1.8
2020,NUTS,2016,NL4,1,2.32
2020,NUTS,2016,NO0,1,1.02
2020,NUTS,2016,SE2,1,0.78
2020,NUTS,2016,UKC,1,2.32
2020,NUTS,2016,UKD,1,1.7
2020,NUTS,2016,UKE,1,1.28
2020,NUTS,2016,UKG,1,0.78
2020,NUTS,2016,UKH,1,1.37
2020,NUTS,2016,UKI,1,1.1
2020,NUTS,2016,UKJ,1,0.77
2020,NUTS,2016,UKK,1,2.16
2020,NUTS,2016,UKL,1,2.44
2020,NUTS,2016,UKM,1,2.14
2020,NUTS,2016,AT13,2,1.35
2020,NUTS,2016,BE23,2,3.18
2020,NUTS,2016,BE31,2,3.63
2020,NUTS,2016,BE33,2,17.84
2020,NUTS,2016,BE35,2,206.76
2020,NUTS,2016,BG41,2,5.29
2020,NUTS,2016,CH01,2,0.8
2020,NUTS,2016,CH02,2,1.19
2020,NUTS,2016,CH04,2,2.38
2020,NUTS,2016,CY00,2,2.54
2020,NUTS,2016,DE13,2,1.7
2020,NUTS,2016,DE14,2,3.9
2020,NUTS,2016,DE21,2,1.05
2020,NUTS,2016,DE25,2,5.66
2020,NUTS,2016,DE30,2,3.2
2020,NUTS,2016,DE60,2,1.64
2020,NUTS,2016,DE71,2,3.47
2020,NUTS,2016,DE72,2,2.86
2020,NUTS,2016,DEA1,2,2.49
2020,NUTS,2016,DEA5,2,5.02
2020,NUTS,2016,DED4,2,0.95
2020,NUTS,2016,DEE0,2,3.45
2020,NUTS,2016,EE00,2,4.05
2020,NUTS,2016,EL51,2,10.42
2020,NUTS,2016,ES41,2,1.83
2020,NUTS,2016,ES51,2,0.49
2020,NUTS,2016,FR10,2,0.85
2020,NUTS,2016,FRI1,2,3.12
2020,NUTS,2016,FRJ1,2,2.33
2020,NUTS,2016,FRL0,2,1.29
2020,NUTS,2016,IS00,2,6.62
2020,NUTS,2016,ITC4,2,1.52
2020,NUTS,2016,ITF1,2,2.21
2020,NUTS,2016,ITF4,2,0.98
2020,NUTS,2016,ITH3,2,1.21
2020,NUTS,2016,ITI3,2,3.43
2020,NUTS,2016,ITI4,2,2.11
2020,NUTS,2016,LU00,2,4.8
2020,NUTS,2016,NL21,2,10.34
2020,NUTS,2016,NL31,2,1.08
2020,NUTS,2016,NL32,2,1.29
2020,NUTS,2016,NL33,2,2.54
2020,NUTS,2016,NL41,2,5.51
2020,NUTS,2016,NO01,2,0.96
2020,NUTS,2016,NO06,2,3.03
2020,NUTS,2016,SE23,2,1.45
2020,NUTS,2016,UKC1,2,1.92
2020,NUTS,2016,UKC2,2,2.94
2020,NUTS,2016,UKD3,2,0.59
2020,NUTS,2016,UKD7,2,3.63
2020,NUTS,2016,UKE4,2,2.63
2020,NUTS,2016,UKG1,2,1.44
2020,NUTS,2016,UKG3,2,0.63
2020,NUTS,2016,UKH1,2,1.53
2020,NUTS,2016,UKH2,2,1.02
2020,NUTS,2016,UKI3,2,0.89
2020,NUTS,2016,UKI4,2,2.05
2020,NUTS,2016,UKI7,2,3.59
2020,NUTS,2016,UKJ1,2,0.23
2020,NUTS,2016,UKJ2,2,4.17
2020,NUTS,2016,UKK1,2,2.59
2020,NUTS,2016,UKK3,2,34.46
2020,NUTS,2016,UKL2,2,3.63
2020,NUTS,2016,UKM7,2,2.7
2020,NUTS,2016,UKM8,2,1.67
2020,NUTS,2016,AT130,3,1.35
2020,NUTS,2016,BE234,3,3.18
2020,NUTS,2016,BE310,3,3.63
2020,NUTS,2016,BE332,3,17.84
2020,NUTS,2016,BE352,3,206.76
2020,NUTS,2016,BG411,3,5.33
2020,NUTS,2016,CH011,3,0.88
2020,NUTS,2016,CH013,3,0.76
2020,NUTS,2016,CH021,3,1.45
2020,NUTS,2016,CH040,3,2.38
2020,NUTS,2016,CY000,3,2.54
2020,NUTS,2016,DE131,3,2.07
2020,NUTS,2016,DE142,3,4.53
2020,NUTS,2016,DE144,3,3.1
2020,NUTS,2016,DE212,3,1.06
2020,NUTS,2016,DE252,3,5.74
2020,NUTS,2016,DE300,3,3.2
2020,NUTS,2016,DE600,3,1.64
2020,NUTS,2016,DE712,3,4.59
2020,NUTS,2016,DE724,3,5.92
2020,NUTS,2016,DEA13,3,2.92
2020,NUTS,2016,DEA51,3,6.82
2020,NUTS,2016,DED43,3,5.49
2020,NUTS,2016,DEE02,3,7.91
2020,NUTS,2016,EE001,3,19.48
2020,NUTS,2016,EL512,3,10.42
2020,NUTS,2016,ES413,3,3.5
2020,NUTS,2016,ES511,3,0.53
2020,NUTS,2016,FR101,3,0.82
2020,NUTS,2016,FR104,3,1.07
2020,NUTS,2016,FRI12,3,3.22
2020,NUTS,2016,FRJ13,3,2.43
2020,NUTS,2016,FRL04,3,1.33
2020,NUTS,2016,IS001,3,6.74
2020,NUTS,2016,ITC4C,3,1.94
2020,NUTS,2016,ITF14,3,5.69
2020,NUTS,2016,ITF47,3,1.3
2020,NUTS,2016,ITH36,3,1.79
2020,NUTS,2016,ITI32,3,6.11
2020,NUTS,2016,ITI43,3,1.07
2020,NUTS,2016,ITI45,3,108.97
2020,NUTS,2016,LU000,3,4.8
2020,NUTS,2016,NL213,3,10.34
2020,NUTS,2016,NL310,3,1.08
2020,NUTS,2016,NL329,3,1.3
2020,NUTS,2016,NL333,3,2.62
2020,NUTS,2016,NL337,3,1.34
2020,NUTS,2016,NL33C,3,3.82
2020,NUTS,2016,NL414,3,7.25
2020,NUTS,2016,NO011,3,1.08
2020,NUTS,2016,NO060,3,3.03
2020,NUTS,2016,SE232,3,1.47
2020,NUTS,2016,UKC14,3,2.38
2020,NUTS,2016,UKC22,3,3.08
2020,NUTS,2016,UKD33,3,0.68
2020,NUTS,2016,UKD72,3,3.76
2020,NUTS,2016,UKE42,3,3.37
2020,NUTS,2016,UKG13,3,1.51
2020,NUTS,2016,UKG31,3,0.76
2020,NUTS,2016,UKH12,3,1.72
2020,NUTS,2016,UKH23,3,1.15
2020,NUTS,2016,UKI31,3,0.66
2020,NUTS,2016,UKI32,3,0.65
2020,NUTS,2016,UKI33,3,1.57
2020,NUTS,2016,UKI42,3,2.91
2020,NUTS,2016,UKI75,3,16.39
2020,NUTS,2016,UKJ13,3,10.26
2020,NUTS,2016,UKJ22,3,4.89
2020,NUTS,2016,UKJ25,3,3.97
2020,NUTS,2016,UKK11,3,3.66
2020,NUTS,2016,UKK30,3,34.46
2020,NUTS,2016,UKL22,3,4.01
2020,NUTS,2016,UKM75,3,3.36
2020,NUTS,2016,UKM82,3,1.74
2021,NUTS,2021,BE,0,8.03
2021,NUTS,2021,CH,0,1.35
2021,NUTS,2021,DE,0,1.53
2021,NUTS,2021,FR,0,1.96
2021,NUTS,2021,IS,0,30.09
2021,NUTS,2021,IT,0,0.38
2021,NUTS,2021,NL,0,2.06
2021,NUTS,2021,UK,0,1.07
2021,NUTS,2021,BE2,1,4.97
2021,NUTS,2021,BE3,1,29.16
2021,NUTS,2021,CH0,1,1.35
2021,NUTS,2021,DE1,1,3.62
2021,NUTS,2021,DE2,1,2.59
2021,NUTS,2021,DEG,1,141.41
2021,NUTS,2021,FRH,1,41.19
2021,NUTS,2021,FRL,1,11.4
2021,NUTS,2021,IS0,1,30.09
2021,NUTS,2021,ITI,1,1.66
2021,NUTS,2021,NL3,1,3.69
2021,NUTS,2021,UKH,1,1.55
2021,NUTS,2021,UKI,1,0.67
2021,NUTS,2021,UKJ,1,1.25
2021,NUTS,2021,UKK,1,9.71
2021,NUTS,2021,BE23,2,12.63
2021,NUTS,2021,BE33,2,40.4
2021,NUTS,2021,BE35,2,1060.54
2021,NUTS,2021,CH03,2,9.36
2021,NUTS,2021,DE13,2,13.3
2021,NUTS,2021,DE21,2,3.76
2021,NUTS,2021,DEG0,2,141.41
2021,NUTS,2021,FRH0,2,41.19
2021,NUTS,2021,FRL0,2,11.4
2021,NUTS,2021,IS00,2,30.09
2021,NUTS,2021,ITI4,2,2.92
2021,NUTS,2021,NL32,2,5.26
2021,NUTS,2021,NL33,2,4.18
2021,NUTS,2021,UKH1,2,2.16
2021,NUTS,2021,UKI3,2,0.82
2021,NUTS,2021,UKJ3,2,7.09
2021,NUTS,2021,UKK1,2,13.45
2021,NUTS,2021,BE234,3,12.63
2021,NUTS,2021,BE332,3,40.4
2021,NUTS,2021,BE352,3,1060.54
2021,NUTS,2021,CH031,3,9.93
2021,NUTS,2021,DE131,3,15.83
2021,NUTS,2021,DE212,3,3.84
2021,NUTS,2021,DEG05,3,2121.08
2021,NUTS,2021,FRH03,3,46.62
2021,NUTS,2021,FRL04,3,11.75
2021,NUTS,2021,IS001,3,31.42
2021,NUTS,2021,ITI45,3,169.69
2021,NUTS,2021,NL329,3,5.29
2021,NUTS,2021,NL333,3,29.06
2021,NUTS,2021,UKH12,3,2.46
2021,NUTS,2021,UKI33,3,3.12
2021,NUTS,2021,UKJ32,3,9.89
2021,NUTS,2021,UKK11,3,12.17
2021,NUTS,2021,UKK12,3,24.24
