year,region_type,region_year_spec,region_id,region_level,vaccines_lq
2020,NUTS,2016,BE,0,5.46
2020,NUTS,2016,CH,0,1.04
2020,NUTS,2016,DE,0,0.13
2020,NUTS,2016,FR,0,0.25
2020,NUTS,2016,IT,0,0.11
2020,NUTS,2016,NL,0,1.09
2020,NUTS,2016,PL,0,0.72
2020,NUTS,2016,SE,0,2.41
2020,NUTS,2016,UK,0,2.3
2020,NUTS,2016,BE1,1,2.86
2020,NUTS,2016,BE2,1,8.8
2020,NUTS,2016,CH0,1,1.04
2020,NUTS,2016,DE9,1,2.21
2020,NUTS,2016,FRF,1,3.52
2020,NUTS,2016,ITI,1,0.42
2020,NUTS,2016,NL2,1,1.04
2020,NUTS,2016,NL3,1,1.51
2020,NUTS,2016,PL9,1,2.31
2020,NUTS,2016,SE1,1,3.69
2020,NUTS,2016,UKC,1,2.58
2020,NUTS,2016,UKD,1,1.9
2020,NUTS,2016,UKE,1,0.95
2020,NUTS,2016,UKF,1,2.07
2020,NUTS,2016,UKG,1,1.75
2020,NUTS,2016,UKH,1,3.49
2020,NUTS,2016,UKI,1,1.02
2020,NUTS,2016,UKJ,1,2.39
2020,NUTS,2016,UKK,1,2.89
2020,NUTS,2016,UKL,1,1.81
2020,NUTS,2016,UKM,1,5.95
2020,NUTS,2016,BE10,2,2.86
2020,NUTS,2016,BE21,2,16.75
2020,NUTS,2016,BE23,2,7.09
2020,NUTS,2016,CH01,2,2.69
2020,NUTS,2016,DE92,2,6.05
2020,NUTS,2016,FRF1,2,5.77
2020,NUTS,2016,ITI1,2,1.22
2020,NUTS,2016,NL22,2,1.14
2020,NUTS,2016,NL33,2,3.4
2020,NUTS,2016,PL91,2,2.32
2020,NUTS,2016,SE11,2,4.32
2020,NUTS,2016,SE12,2,2.33
2020,NUTS,2016,UKC2,2,6.55
2020,NUTS,2016,UKD3,2,2.61
2020,NUTS,2016,UKD7,2,1.62
2020,NUTS,2016,UKE4,2,1.95
2020,NUTS,2016,UKF2,2,4.53
2020,NUTS,2016,UKG1,2,3.22
2020,NUTS,2016,UKG3,2,1.4
2020,NUTS,2016,UKH1,2,2.27
2020,NUTS,2016,UKH2,2,9.1
2020,NUTS,2016,UKI3,2,1.24
2020,NUTS,2016,UKJ1,2,2.58
2020,NUTS,2016,UKJ2,2,4.64
2020,NUTS,2016,UKK1,2,2.89
2020,NUTS,2016,UKK4,2,3.69
2020,NUTS,2016,UKL2,2,2.69
2020,NUTS,2016,UKM7,2,5.01
2020,NUTS,2016,UKM8,2,9.28
2020,NUTS,2016,BE100,3,2.86
2020,NUTS,2016,BE211,3,5.55
2020,NUTS,2016,BE213,3,53.14
2020,NUTS,2016,BE234,3,7.09
2020,NUTS,2016,CH011,3,3.9
2020,NUTS,2016,CH013,3,1.69
2020,NUTS,2016,DE929,3,6.13
2020,NUTS,2016,FRF11,3,5.99
2020,NUTS,2016,ITI14,3,2.37
2020,NUTS,2016,NL226,3,1.29
2020,NUTS,2016,NL332,3,42.16
2020,NUTS,2016,NL337,3,2.98
2020,NUTS,2016,NL33C,3,2.84
2020,NUTS,2016,PL911,3,2.33
2020,NUTS,2016,SE110,3,4.32
2020,NUTS,2016,SE121,3,3.51
2020,NUTS,2016,UKC22,3,6.87
2020,NUTS,2016,UKD33,3,3.01
2020,NUTS,2016,UKD72,3,1.67
2020,NUTS,2016,UKE42,3,2.5
2020,NUTS,2016,UKF21,3,5.43
2020,NUTS,2016,UKG13,3,3.36
2020,NUTS,2016,UKG31,3,1.69
2020,NUTS,2016,UKH12,3,2.55
2020,NUTS,2016,UKH23,3,10.23
2020,NUTS,2016,UKI31,3,2.22
2020,NUTS,2016,UKI32,3,0.73
2020,NUTS,2016,UKI33,3,0.87
2020,NUTS,2016,UKJ14,3,2.78
2020,NUTS,2016,UKJ25,3,8.84
2020,NUTS,2016,UKK11,3,4.08
2020,NUTS,2016,UKK43,3,3.91
2020,NUTS,2016,UKL21,3,30.24
2020,NUTS,2016,UKM72,3,10.85
2020,NUTS,2016,UKM75,3,4.99
2020,NUTS,2016,UKM82,3,9.69
2021,NUTS,2021,FI,0,11.12
2021,NUTS,2021,IT,0,0.73
2021,NUTS,2021,UK,0,2.71
2021,NUTS,2021,FI1,1,11.12
2021,NUTS,2021,ITC,1,1.96
2021,NUTS,2021,UKH,1,5.89
2021,NUTS,2021,UKI,1,2.54
2021,NUTS,2021,UKJ,1,9.52
2021,NUTS,2021,FI1B,2,20.3
2021,NUTS,2021,ITC4,2,2.67
2021,NUTS,2021,UKH1,2,8.19
2021,NUTS,2021,UKI3,2,1.56
2021,NUTS,2021,UKI4,2,9.43
2021,NUTS,2021,UKJ1,2,11.23
2021,NUTS,2021,UKJ4,2,55.21
2021,NUTS,2021,FI1B1,3,20.3
2021,NUTS,2021,ITC4C,3,3.47
2021,NUTS,2021,UKH12,3,9.36
2021,NUTS,2021,UKI31,3,4.56
2021,NUTS,2021,UKI42,3,13.23
2021,NUTS,2021,UKJ14,3,12.06
2021,NUTS,2021,UKJ41,3,732.74
