year,region_type,region_year_spec,region_id,region_level,impact_studies_lq
2020,NUTS,2016,UKH2,2,6.0
2020,NUTS,2016,UKI3,2,1.31
2020,NUTS,2016,UKI7,2,4.23
2020,NUTS,2016,UKJ1,2,1.5
2020,NUTS,2016,UKJ2,2,1.84
2020,NUTS,2016,UKJ4,2,4.95
2020,NUTS,2016,UKK1,2,0.76
2020,NUTS,2016,UKM8,2,0.98
2020,NUTS,2016,AT130,3,0.79
2020,NUTS,2016,BE213,3,9.35
2020,NUTS,2016,BE242,3,16.58
2020,NUTS,2016,BG411,3,3.14
2020,NUTS,2016,CH011,3,1.03
2020,NUTS,2016,CH013,3,1.78
2020,NUTS,2016,CH021,3,2.56
2020,NUTS,2016,CH031,3,0.79
2020,NUTS,2016,CH033,3,8.15
2020,NUTS,2016,CH040,3,0.84
2020,NUTS,2016,CZ010,3,0.84
2020,NUTS,2016,CZ064,3,3.23
2020,NUTS,2016,DE125,3,4.15
2020,NUTS,2016,DE144,3,9.1
2020,NUTS,2016,DE212,3,0.83
2020,NUTS,2016,DE232,3,2.98
2020,NUTS,2016,DE252,3,1.69
2020,NUTS,2016,DE263,3,2.85
2020,NUTS,2016,DE300,3,1.61
2020,NUTS,2016,DE712,3,5.39
2020,NUTS,2016,DE71C,3,34.36
2020,NUTS,2016,DE721,3,6.5
2020,NUTS,2016,DE724,3,6.96
2020,NUTS,2016,DE731,3,1.99
2020,NUTS,2016,DE91C,3,4.0
2020,NUTS,2016,DEA13,3,3.43
2020,NUTS,2016,DEA22,3,1.86
2020,NUTS,2016,DEA33,3,4.58
2020,NUTS,2016,DEA51,3,2.01
2020,NUTS,2016,DED41,3,0.68
2020,NUTS,2016,DK011,3,1.68
2020,NUTS,2016,DK042,3,4.28
2020,NUTS,2016,EE008,3,9.01
2020,NUTS,2016,ES243,3,3.28
2020,NUTS,2016,ES300,3,1.21
2020,NUTS,2016,FI1B1,3,3.02
2020,NUTS,2016,FR101,3,1.45
2020,NUTS,2016,FR104,3,1.04
2020,NUTS,2016,FRE11,3,3.14
2020,NUTS,2016,FRJ13,3,1.43
2020,NUTS,2016,FRK25,3,12.16
2020,NUTS,2016,FRK26,3,2.49
2020,NUTS,2016,FRL04,3,2.34
2020,NUTS,2016,HU110,3,1.23
2020,NUTS,2016,HU231,3,8.5
2020,NUTS,2016,IE053,3,2.38
2020,NUTS,2016,IE061,3,0.63
2020,NUTS,2016,ITC11,3,1.36
2020,NUTS,2016,ITC4C,3,0.76
2020,NUTS,2016,ITF33,3,2.39
2020,NUTS,2016,ITG17,3,1.7
2020,NUTS,2016,ITH36,3,0.53
2020,NUTS,2016,ITH44,3,1.35
2020,NUTS,2016,ITI14,3,1.25
2020,NUTS,2016,ITI21,3,2.0
2020,NUTS,2016,ITI43,3,0.42
2020,NUTS,2016,NL113,3,0.81
2020,NUTS,2016,NL226,3,2.39
2020,NUTS,2016,NL329,3,1.91
2020,NUTS,2016,NL337,3,1.57
2020,NUTS,2016,NL33C,3,1.5
2020,NUTS,2016,NO060,3,3.56
2020,NUTS,2016,NO071,3,17.56
2020,NUTS,2016,PL213,3,3.11
2020,NUTS,2016,PL22A,3,7.32
2020,NUTS,2016,PL415,3,3.24
2020,NUTS,2016,PL633,3,2.99
2020,NUTS,2016,PL841,3,6.7
2020,NUTS,2016,SE110,3,0.28
2020,NUTS,2016,SE232,3,0.87
2020,NUTS,2016,SI041,3,2.03
2020,NUTS,2016,SK010,3,2.79
2020,NUTS,2016,TR100,3,2.23
2020,NUTS,2016,TR510,3,0.74
2020,NUTS,2016,UKD44,3,2.1
2020,NUTS,2016,UKD72,3,3.98
2020,NUTS,2016,UKE21,3,1.44
2020,NUTS,2016,UKE32,3,1.82
2020,NUTS,2016,UKE44,3,3.47
2020,NUTS,2016,UKF14,3,0.68
2020,NUTS,2016,UKG24,3,14.53
2020,NUTS,2016,UKH12,3,1.85
2020,NUTS,2016,UKH23,3,6.75
2020,NUTS,2016,UKI31,3,2.14
2020,NUTS,2016,UKI32,3,0.77
2020,NUTS,2016,UKI33,3,1.15
2020,NUTS,2016,UKI74,3,6.15
2020,NUTS,2016,UKJ14,3,1.62
2020,NUTS,2016,UKJ25,3,3.5
2020,NUTS,2016,UKJ44,3,5.81
2020,NUTS,2016,UKK11,3,1.08
2020,NUTS,2016,UKM82,3,1.02
2021,NUTS,2021,BE,0,3.7
2021,NUTS,2021,CH,0,0.46
2021,NUTS,2021,DE,0,0.88
2021,NUTS,2021,DK,0,0.78
2021,NUTS,2021,EE,0,12.31
2021,NUTS,2021,EL,0,3.47
2021,NUTS,2021,FR,0,1.36
2021,NUTS,2021,IE,0,1.41
2021,NUTS,2021,IT,0,0.26
2021,NUTS,2021,LU,0,13.44
2021,NUTS,2021,NL,0,2.14
2021,NUTS,2021,NO,0,2.68
2021,NUTS,2021,PL,0,0.8
2021,NUTS,2021,PT,0,1.33
2021,NUTS,2021,SE,0,2.34
2021,NUTS,2021,UK,0,1.11
