year,region_type,region_year_spec,region_id,region_level,education_lq
2020,NUTS,2016,FR103,3,2.8
2020,NUTS,2016,FR104,3,0.33
2020,NUTS,2016,FRG01,3,5.74
2020,NUTS,2016,ITC11,3,3.23
2020,NUTS,2016,ITC4C,3,0.4
2020,NUTS,2016,ITF47,3,1.21
2020,NUTS,2016,ITH35,3,13.02
2020,NUTS,2016,ITH44,3,2.13
2020,NUTS,2016,ITI43,3,0.33
2020,NUTS,2016,NL329,3,0.6
2020,NUTS,2016,NL333,3,7.31
2020,NUTS,2016,NO011,3,2.01
2020,NUTS,2016,SE110,3,0.45
2020,NUTS,2016,SE224,3,1.89
2020,NUTS,2016,SE232,3,1.37
2020,NUTS,2016,UKD33,3,2.51
2020,NUTS,2016,UKD44,3,3.33
2020,NUTS,2016,UKD45,3,24.52
2020,NUTS,2016,UKD72,3,0.7
2020,NUTS,2016,UKE21,3,2.29
2020,NUTS,2016,UKE32,3,2.88
2020,NUTS,2016,UKE42,3,1.04
2020,NUTS,2016,UKF14,3,1.08
2020,NUTS,2016,UKF21,3,3.4
2020,NUTS,2016,UKG13,3,2.81
2020,NUTS,2016,UKG24,3,9.19
2020,NUTS,2016,UKG31,3,2.12
2020,NUTS,2016,UKH12,3,0.53
2020,NUTS,2016,UKH14,3,62.52
2020,NUTS,2016,UKH17,3,4.62
2020,NUTS,2016,UKH23,3,3.2
2020,NUTS,2016,UKH25,3,16.67
2020,NUTS,2016,UKI31,3,1.54
2020,NUTS,2016,UKI32,3,2.12
2020,NUTS,2016,UKI33,3,2.55
2020,NUTS,2016,UKI34,3,2.67
2020,NUTS,2016,UKI42,3,1.8
2020,NUTS,2016,UKJ14,3,2.56
2020,NUTS,2016,UKJ22,3,2.27
2020,NUTS,2016,UKJ32,3,10.21
2020,NUTS,2016,UKK11,3,7.67
2020,NUTS,2016,UKK12,3,2.75
2020,NUTS,2016,UKK43,3,8.16
2020,NUTS,2016,UKL22,3,2.49
2020,NUTS,2016,UKM50,3,15.48
2020,NUTS,2016,UKM62,3,34.73
2020,NUTS,2016,UKM72,3,4.53
2020,NUTS,2016,UKM75,3,1.04
2020,NUTS,2016,UKM77,3,11.37
2020,NUTS,2016,UKM82,3,0.81
2020,NUTS,2016,UKN06,3,2.44
2021,NUTS,2021,CH,0,1.42
2021,NUTS,2021,DE,0,0.54
2021,NUTS,2021,ES,0,0.8
2021,NUTS,2021,IT,0,1.21
2021,NUTS,2021,NL,0,1.09
2021,NUTS,2021,NO,0,8.18
2021,NUTS,2021,PT,0,4.06
2021,NUTS,2021,SE,0,3.58
2021,NUTS,2021,UK,0,1.13
2021,NUTS,2021,CH0,1,1.42
2021,NUTS,2021,DE3,1,4.1
2021,NUTS,2021,ES5,1,2.58
2021,NUTS,2021,ITH,1,3.81
2021,NUTS,2021,ITI,1,1.75
2021,NUTS,2021,NL3,1,1.95
2021,NUTS,2021,NO0,1,8.18
2021,NUTS,2021,PT1,1,4.1
2021,NUTS,2021,SE1,1,2.68
2021,NUTS,2021,SE2,1,6.75
2021,NUTS,2021,UKE,1,3.29
2021,NUTS,2021,UKF,1,3.34
2021,NUTS,2021,UKG,1,3.01
2021,NUTS,2021,UKH,1,1.63
2021,NUTS,2021,UKK,1,6.83
2021,NUTS,2021,CH01,2,3.49
2021,NUTS,2021,DE30,2,4.1
2021,NUTS,2021,ES51,2,3.58
2021,NUTS,2021,ITH3,2,4.89
2021,NUTS,2021,ITH5,2,4.71
2021,NUTS,2021,ITI1,2,5.9
2021,NUTS,2021,NL32,2,5.55
2021,NUTS,2021,NO06,2,26.34
2021,NUTS,2021,NO08,2,7.2
2021,NUTS,2021,PT11,2,11.78
2021,NUTS,2021,SE11,2,3.81
2021,NUTS,2021,SE22,2,16.17
2021,NUTS,2021,UKE3,2,11.14
2021,NUTS,2021,UKF2,2,7.32
2021,NUTS,2021,UKG3,2,4.62
2021,NUTS,2021,UKH1,2,2.28
2021,NUTS,2021,UKK1,2,4.73
2021,NUTS,2021,UKK4,2,16.34
2021,NUTS,2021,CH013,3,5.68
2021,NUTS,2021,DE300,3,4.1
2021,NUTS,2021,ES511,3,3.9
2021,NUTS,2021,ITH35,3,159.92
2021,NUTS,2021,ITH55,3,10.92
2021,NUTS,2021,ITI14,3,14.17
2021,NUTS,2021,NL329,3,5.58
2021,NUTS,2021,NO060,3,26.34
2021,NUTS,2021,NO081,3,8.23
2021,NUTS,2021,PT11A,3,15.88
2021,NUTS,2021,SE110,3,3.81
2021,NUTS,2021,SE221,3,263.4
2021,NUTS,2021,UKE32,3,11.72
2021,NUTS,2021,UKF21,3,8.39
2021,NUTS,2021,UKG31,3,5.84
2021,NUTS,2021,UKH17,3,19.81
2021,NUTS,2021,UKK11,3,6.42
2021,NUTS,2021,UKK43,3,17.98
