year,region_type,region_year_spec,region_id,region_level,healthcare_lq
2020,NUTS,2016,NO06,2,3.96
2020,NUTS,2016,PT11,2,1.14
2020,NUTS,2016,PT17,2,2.02
2020,NUTS,2016,SE33,2,2.36
2020,NUTS,2016,SI04,2,4.18
2020,NUTS,2016,UKD3,2,0.77
2020,NUTS,2016,UKD4,2,3.4
2020,NUTS,2016,UKD6,2,36.59
2020,NUTS,2016,UKD7,2,2.37
2020,NUTS,2016,UKE3,2,4.85
2020,NUTS,2016,UKE4,2,2.86
2020,NUTS,2016,UKF2,2,1.99
2020,NUTS,2016,UKF3,2,8.44
2020,NUTS,2016,UKG1,2,1.89
2020,NUTS,2016,UKG3,2,1.64
2020,NUTS,2016,UKH1,2,1.66
2020,NUTS,2016,UKH2,2,4.67
2020,NUTS,2016,UKH3,2,3.28
2020,NUTS,2016,UKI3,2,2.76
2020,NUTS,2016,UKI4,2,1.34
2020,NUTS,2016,UKJ1,2,2.12
2020,NUTS,2016,UKJ2,2,2.04
2020,NUTS,2016,UKJ3,2,1.3
2020,NUTS,2016,UKK1,2,1.7
2020,NUTS,2016,UKK3,2,22.51
2020,NUTS,2016,UKL1,2,3.23
2020,NUTS,2016,UKL2,2,0.79
2020,NUTS,2016,UKM7,2,1.47
2020,NUTS,2016,UKM8,2,2.18
2020,NUTS,2016,UKM9,2,13.11
2020,NUTS,2016,AT124,3,13.11
2020,NUTS,2016,AT221,3,1.75
2020,NUTS,2016,BE100,3,0.84
2020,NUTS,2016,BE211,3,3.26
2020,NUTS,2016,BE310,3,2.37
2020,NUTS,2016,CH013,3,0.49
2020,NUTS,2016,CH021,3,3.8
2020,NUTS,2016,CZ010,3,0.94
2020,NUTS,2016,DE125,3,2.31
2020,NUTS,2016,DE131,3,2.71
2020,NUTS,2016,DE212,3,0.46
2020,NUTS,2016,DE242,3,8.87
2020,NUTS,2016,DE252,3,3.75
2020,NUTS,2016,DE300,3,0.6
2020,NUTS,2016,DE404,3,9.08
2020,NUTS,2016,DE600,3,1.07
2020,NUTS,2016,DE724,3,3.87
2020,NUTS,2016,DEA23,3,1.69
2020,NUTS,2016,DED41,3,0.75
2020,NUTS,2016,DED43,3,3.58
2020,NUTS,2016,DK011,3,0.47
2020,NUTS,2016,EL512,3,6.81
