year,region_type,region_year_spec,region_id,region_level,repurposed_treatments_lq
2020,NUTS,2016,BE241,3,4.3
2020,NUTS,2016,BE310,3,4.14
2020,NUTS,2016,CH011,3,0.5
2020,NUTS,2016,CH013,3,0.86
2020,NUTS,2016,CH024,3,18.23
2020,NUTS,2016,CH031,3,0.76
2020,NUTS,2016,DE125,3,1.01
2020,NUTS,2016,DE142,3,1.29
2020,NUTS,2016,DE212,3,0.2
2020,NUTS,2016,DE271,3,7.81
2020,NUTS,2016,DE600,3,0.93
2020,NUTS,2016,DEC01,3,2.46
2020,NUTS,2016,DK011,3,2.85
2020,NUTS,2016,DK031,3,2.53
2020,NUTS,2016,DK042,3,1.66
2020,NUTS,2016,EL303,3,1.88
2020,NUTS,2016,EL512,3,11.87
2020,NUTS,2016,EL522,3,1.55
2020,NUTS,2016,EL543,3,11.52
2020,NUTS,2016,EL632,3,3.81
2020,NUTS,2016,ES300,3,2.51
2020,NUTS,2016,ES413,3,1.99
2020,NUTS,2016,ES421,3,8.32
2020,NUTS,2016,ES511,3,1.82
2020,NUTS,2016,ES614,3,2.05
2020,NUTS,2016,ES617,3,5.21
2020,NUTS,2016,ES618,3,2.24
2020,NUTS,2016,FI1B1,3,0.73
2020,NUTS,2016,FR101,3,2.34
2020,NUTS,2016,FR104,3,3.64
2020,NUTS,2016,FRK26,3,1.2
2020,NUTS,2016,FRL04,3,1.51
2020,NUTS,2016,HU110,3,2.38
2020,NUTS,2016,IE051,3,6.84
2020,NUTS,2016,IE053,3,2.31
2020,NUTS,2016,IE061,3,1.82
2020,NUTS,2016,ITC11,3,0.66
2020,NUTS,2016,ITC33,3,1.62
2020,NUTS,2016,ITC41,3,2.09
2020,NUTS,2016,ITC47,3,1.42
2020,NUTS,2016,ITC48,3,1.05
2020,NUTS,2016,ITC4C,3,0.74
2020,NUTS,2016,ITF46,3,2.89
2020,NUTS,2016,ITG17,3,1.65
2020,NUTS,2016,ITH36,3,0.51
2020,NUTS,2016,ITH42,3,2.98
2020,NUTS,2016,ITH44,3,2.61
2020,NUTS,2016,ITH52,3,2.05
2020,NUTS,2016,ITH55,3,0.71
2020,NUTS,2016,ITI14,3,1.21
2020,NUTS,2016,ITI19,3,2.2
2020,NUTS,2016,ITI43,3,0.41
2020,NUTS,2016,NL226,3,0.99
2020,NUTS,2016,NL310,3,1.85
2020,NUTS,2016,NL329,3,0.37
2020,NUTS,2016,NL33C,3,2.18
2020,NUTS,2016,NO011,3,1.23
2020,NUTS,2016,NO012,3,4.79
2020,NUTS,2016,PL229,3,17.81
