year,region_type,region_year_spec,region_id,region_level,lockdown_social_distancing_2_lq
2020,NUTS,2016,BE,0,2.44
2020,NUTS,2016,CH,0,1.45
2020,NUTS,2016,CY,0,1.96
2020,NUTS,2016,CZ,0,0.27
2020,NUTS,2016,DE,0,0.52
2020,NUTS,2016,DK,0,1.8
2020,NUTS,2016,EL,0,0.92
2020,NUTS,2016,ES,0,0.62
2020,NUTS,2016,FR,0,0.52
2020,NUTS,2016,HU,0,0.99
2020,NUTS,2016,IE,0,1.95
2020,NUTS,2016,IS,0,1.28
2020,NUTS,2016,IT,0,0.48
2020,NUTS,2016,NL,0,0.99
2020,NUTS,2016,NO,0,1.18
2020,NUTS,2016,PL,0,0.63
2020,NUTS,2016,SE,0,1.0
2020,NUTS,2016,SI,0,2.16
2020,NUTS,2016,SK,0,1.42
2020,NUTS,2016,TR,0,0.68
2020,NUTS,2016,UK,0,1.62
2020,NUTS,2016,BE1,1,0.99
2020,NUTS,2016,BE2,1,3.57
2020,NUTS,2016,BE3,1,1.39
2020,NUTS,2016,CH0,1,1.45
2020,NUTS,2016,CY0,1,1.96
2020,NUTS,2016,CZ0,1,0.27
2020,NUTS,2016,DE1,1,0.31
2020,NUTS,2016,DE2,1,0.81
2020,NUTS,2016,DE3,1,0.71
2020,NUTS,2016,DE7,1,0.31
2020,NUTS,2016,DEA,1,0.93
2020,NUTS,2016,DED,1,0.28
2020,NUTS,2016,DK0,1,1.8
2020,NUTS,2016,EL3,1,1.66
2020,NUTS,2016,EL4,1,1.35
2020,NUTS,2016,ES1,1,0.88
2020,NUTS,2016,ES2,1,1.19
2020,NUTS,2016,ES3,1,0.45
2020,NUTS,2016,ES4,1,1.15
2020,NUTS,2016,ES5,1,0.53
2020,NUTS,2016,ES6,1,0.74
2020,NUTS,2016,FR1,1,0.58
2020,NUTS,2016,FRI,1,0.9
2020,NUTS,2016,FRJ,1,0.7
2020,NUTS,2016,FRK,1,0.65
2020,NUTS,2016,FRL,1,1.0
2020,NUTS,2016,HU1,1,0.79
2020,NUTS,2016,HU3,1,1.95
2020,NUTS,2016,IE0,1,1.95
2020,NUTS,2016,IS0,1,1.28
2020,NUTS,2016,ITC,1,0.81
2020,NUTS,2016,ITF,1,0.28
2020,NUTS,2016,ITH,1,0.45
2020,NUTS,2016,ITI,1,0.22
2020,NUTS,2016,NL2,1,0.72
2020,NUTS,2016,NL3,1,1.4
2020,NUTS,2016,NL4,1,0.45
2020,NUTS,2016,NO0,1,1.18
2020,NUTS,2016,PL2,1,1.31
2020,NUTS,2016,PL7,1,1.25
2020,NUTS,2016,PL8,1,1.54
2020,NUTS,2016,PL9,1,0.4
2020,NUTS,2016,SE1,1,1.54
2020,NUTS,2016,SI0,1,2.16
2020,NUTS,2016,SK0,1,1.42
2020,NUTS,2016,TR1,1,0.73
2020,NUTS,2016,TR5,1,0.9
2020,NUTS,2016,TR7,1,2.89
2020,NUTS,2016,TR8,1,2.37
2020,NUTS,2016,UKD,1,0.88
2020,NUTS,2016,UKE,1,0.33
2020,NUTS,2016,UKF,1,0.54
2020,NUTS,2016,UKG,1,1.52
2020,NUTS,2016,UKH,1,1.67
2020,NUTS,2016,UKI,1,2.44
2020,NUTS,2016,UKJ,1,1.96
2020,NUTS,2016,UKK,1,2.34
2020,NUTS,2016,UKL,1,0.94
2020,NUTS,2016,UKM,1,1.14
2020,NUTS,2016,BE10,2,0.99
2020,NUTS,2016,BE21,2,6.54
2020,NUTS,2016,BE22,2,13.86
2020,NUTS,2016,BE23,2,0.62
